Phenotype1,Phenotype2,Log2(OR),95% CI Lower,95% CI Upper,P_adj,Significance
Hearing Impairment,Foot Deformities,-0.734102291,-1.758623132,0.290418549,0.559900414,ns
Broad Chin,Motor Developmental Delay,-0.732341568,-1.840282127,0.375598992,0.64147423,ns
Low-Set Ears,Abnormal Hair Color/Texture,-0.732298832,-1.701190925,0.236593262,0.520322307,ns
Language Disorder,Hypotonia,-0.727535773,-1.571140537,0.116068991,0.442676547,ns
Hyperopia,Widely Spaced Nipples,-0.726906923,-2.708948021,1.255134175,0.995519786,ns
High/Broad Forehead,Small Teeth,-0.725140159,-3.206368515,1.756088198,1,ns
Everted Lower Lip,Hypodontia,-0.724186862,-2.107872988,0.659499263,0.739576514,ns
Upward Slanting Palpebral Fissures,Astigmatism,-0.724050386,-2.528333057,1.080232285,0.995519786,ns
Upward Slanting Palpebral Fissures,Bicuspid Aortic Valve,-0.724050386,-2.528333057,1.080232285,0.995519786,ns
Dolichocephaly,Tubular or Pear-Shaped Nose,-0.722681368,-2.889599331,1.444236594,1,ns
Tongue Protrusion,Language Disorder,-0.72038271,-2.788286681,1.347521261,1,ns
Hypotonia,Multiple Nevi,-0.720020995,-2.03831337,0.598271381,0.824091563,ns
Slender/Long Fingers,Vesicoureteral Reflux,-0.71967281,-2.670427506,1.231081887,0.99316646,ns
Hypertelorism,Pectus Excavatum,-0.718229032,-2.395573296,0.959115233,0.945347863,ns
Developmental Delay/Intellectual Disability,Joint Hyperlaxity,-0.715768002,-2.274998561,0.843462557,1,ns
Thin Upper Lip,Scoliosis/Kyphosis,-0.715432433,-2.242015207,0.811150341,0.792942906,ns
Short Stature,Nasal Speech,-0.714949174,-3.182622991,1.752724642,1,ns
Macrocephaly,Pulmonary Valve Stenosis,-0.714273731,-4.874242259,3.445694797,1,ns
Pulmonary Valve Stenosis,Constipation,-0.714273731,-4.874242259,3.445694797,1,ns
Open Mouth,Myopia,-0.707401137,-4.851818994,3.437016721,1,ns
Open Mouth,Nasal Speech,-0.707401137,-4.851818994,3.437016721,1,ns
Narrow Hands,Myopia,-0.707401137,-4.851818994,3.437016721,1,ns
Narrow Hands,Pigmentation Abnormalities,-0.707401137,-4.851818994,3.437016721,1,ns
Hydrocephalus,Atrial Septal Defect,-0.707320132,-3.245884499,1.831244235,1,ns
Broad Chin,Strabismus,-0.706395513,-2.018668436,0.60587741,0.735785723,ns
Bulbous Nasal Tip,Widely Spaced Teeth,-0.705166872,-2.136324645,0.7259909,0.855287509,ns
Short Stature,Friendly/Amiable Affect,-0.70420712,-1.766314123,0.357899883,0.634036169,ns
Open Mouth,Seizures,-0.704175659,-2.425834874,1.017483556,0.903726785,ns
Large/Prominent Ears,Patent Foramen Ovale,-0.703476188,-2.716347118,1.309394742,1,ns
Narrow/High Palate,Speech Developmental Delay,-0.698946618,-1.721127343,0.323234108,0.64147423,ns
Motor Developmental Delay,Nasal Speech,-0.698302185,-2.095531637,0.698927267,0.81442205,ns
Broad Chin,Seizures,-0.697620702,-1.819006223,0.423764819,0.677831532,ns
Tubular or Pear-Shaped Nose,Ventricular Septal Defect,-0.697449442,-1.765878877,0.370979993,0.664659201,ns
Narrow/Short Palpebral Fissures,Tracheomalacia/Laryngomalacia,-0.697037102,-2.070461234,0.67638703,0.757916827,ns
Thin Upper Lip,Motor Developmental Delay,-0.696063572,-1.896552729,0.504425584,0.733180898,ns
Macrocephaly,Friendly/Amiable Affect,-0.694780786,-1.953314296,0.563752724,0.750929125,ns
Abnormal EEG,Hip Dislocation/Dysplasia,-0.694530328,-2.192714935,0.803654279,0.792942906,ns
Corpus Callosum Hypoplasia/Agenesis,Multiple Nevi,-0.692672564,-2.384342058,0.998996929,0.96831505,ns
Intrauterine Growth Restriction,Macrocephaly,-0.691877705,-3.151023492,1.767268083,1,ns
Intrauterine Growth Restriction,Multiple Nevi,-0.691877705,-3.151023492,1.767268083,1,ns
Intrauterine Growth Restriction,Constipation,-0.691877705,-3.151023492,1.767268083,1,ns
Short Stature,Bilateral Kidneys,-0.688372826,-4.896824792,3.520079141,1,ns
High/Broad Nasal Bridge,Enlarged Ventricles,-0.68669979,-2.061144781,0.687745202,0.76607545,ns
Thin Upper Lip,Joint Hyperlaxity,-0.682430047,-2.024255305,0.65939521,0.778531975,ns
Cleft Lip/Palate,Long/Prominent Philtrum,-0.681522505,-3.179182284,1.816137275,1,ns
Long/Prominent Philtrum,Bicuspid Aortic Valve,-0.681522505,-3.179182284,1.816137275,1,ns
Nystagmus,Hip Dislocation/Dysplasia,-0.681522505,-3.179182284,1.816137275,1,ns
Tracheomalacia/Laryngomalacia,Café-au-lait Spots,-0.681522505,-3.179182284,1.816137275,1,ns
Hip Dislocation/Dysplasia,Café-au-lait Spots,-0.681522505,-3.179182284,1.816137275,1,ns
Dolichocephaly,Broad Chin,-0.679200922,-4.86562233,3.507220486,1,ns
High/Broad Forehead,Vesicoureteral Reflux,-0.676798377,-2.628788164,1.27519141,1,ns
High/Broad Forehead,Multiple Nevi,-0.676798377,-2.628788164,1.27519141,1,ns
Feeding Difficulties,Hydrocephalus,-0.671377253,-2.50249079,1.159736285,1,ns
Friendly/Amiable Affect,Cryptorchidism,-0.667891794,-1.500325645,0.164542056,0.487050904,ns
Motor Developmental Delay,Bilateral Kidneys,-0.667340179,-3.034142452,1.699462094,1,ns
Macroglossia,Hydrocephalus,-0.665900304,-4.81991568,3.488115072,1,ns
Thin Upper Lip,Foot Deformities,-0.665165424,-2.353876412,1.023545565,0.981452951,ns
Hypodontia,Pigmentation Abnormalities,-0.664815808,-3.133945236,1.804313619,1,ns
Hypodontia,Nasal Speech,-0.664815808,-3.133945236,1.804313619,1,ns
Foot Deformities,Pigmentation Abnormalities,-0.663519149,-2.639723012,1.312684713,1,ns
Thin Upper Lip,Strabismus,-0.663303153,-2.082132426,0.75552612,0.804550532,ns
Failure to Thrive in Infancy,Micrognathia,-0.661583782,-4.804963379,3.481795814,1,ns
Failure to Thrive in Infancy,Patent Foramen Ovale,-0.661583782,-4.804963379,3.481795814,1,ns
Failure to Thrive in Infancy,Hypoplasia Hand Muscles,-0.661583782,-4.804963379,3.481795814,1,ns
Failure to Thrive in Infancy,Inguinal Hernia,-0.661583782,-4.804963379,3.481795814,1,ns
Micrognathia,Small Teeth,-0.661583782,-4.804963379,3.481795814,1,ns
Pale Irides,Corpus Callosum Hypoplasia/Agenesis,-0.661583782,-2.644790276,1.321622711,1,ns
Widely Spaced Teeth,Corpus Callosum Hypoplasia/Agenesis,-0.661583782,-2.644790276,1.321622711,1,ns
Small Teeth,Patent Foramen Ovale,-0.661583782,-4.804963379,3.481795814,1,ns
Small Teeth,Hypoplasia Hand Muscles,-0.661583782,-4.804963379,3.481795814,1,ns
Patent Foramen Ovale,Hypopigmentation,-0.661583782,-4.804963379,3.481795814,1,ns
Hypoplasia Hand Muscles,Hypopigmentation,-0.661583782,-4.804963379,3.481795814,1,ns
Hypopigmentation,Inguinal Hernia,-0.661583782,-4.804963379,3.481795814,1,ns
Language Disorder,Hip Dislocation/Dysplasia,-0.659135585,-1.696665436,0.378394265,0.647360374,ns
Anxiety,Otitis Media,-0.658712032,-3.135967833,1.818543769,1,ns
Low-Set Ears,Vesicoureteral Reflux,-0.658668872,-2.35108844,1.033750696,0.988403276,ns
Low-Set Ears,Multiple Nevi,-0.658668872,-2.35108844,1.033750696,0.988403276,ns
Microcephaly,Bulbous Nasal Tip,-0.657664404,-2.706138182,1.390809373,1,ns
Microcephaly,Hydronephrosis,-0.657475001,-4.829310531,3.51436053,1,ns
Craniosynostosis,Hydronephrosis,-0.657475001,-4.829310531,3.51436053,1,ns
Cleft Lip/Palate,Speech Developmental Delay,-0.656676764,-2.287684771,0.974331242,1,ns
Speech Developmental Delay,Pyelectasis,-0.656676764,-2.287684771,0.974331242,1,ns
Speech Developmental Delay,Café-au-lait Spots,-0.656676764,-2.287684771,0.974331242,1,ns
Epicanthal Folds,Macroglossia,-0.652076697,-2.204735431,0.900582038,0.845373754,ns
Everted Lower Lip,Large/Prominent Ears,-0.650914212,-1.642726143,0.34089772,0.626363151,ns
Bulbous Nasal Tip,Small Teeth,-0.650451582,-2.1702805,0.869377335,1,ns
Feeding Difficulties,Enlarged Ventricles,-0.650008168,-1.537358178,0.237341842,0.573335655,ns
Language Disorder,Dry Skin/Hyperkeratosis/Eczema,-0.648414228,-2.081457249,0.784628794,0.824091563,ns
Astigmatism,Otitis Media,-0.646767785,-4.791571829,3.498036259,1,ns
Nystagmus,Otitis Media,-0.646767785,-4.791571829,3.498036259,1,ns
Otitis Media,Bicuspid Aortic Valve,-0.646767785,-4.791571829,3.498036259,1,ns
Short Stature,Language Disorder,-0.644945004,-1.824586129,0.53469612,0.736729249,ns
High/Broad Nasal Bridge,Dry Skin/Hyperkeratosis/Eczema,-0.644154882,-2.599508379,1.311198616,1,ns
Narrow/Short Palpebral Fissures,Cleft Lip/Palate,-0.642843417,-3.141259945,1.855573112,1,ns
Narrow/Short Palpebral Fissures,Astigmatism,-0.642843417,-3.141259945,1.855573112,1,ns
Hypodontia,Bilateral Kidneys,-0.639824436,-4.849081218,3.569432347,1,ns
Macrocephaly,Scoliosis/Kyphosis,-0.635484276,-2.168528082,0.897559529,0.84698227,ns
Open Mouth,Hearing Impairment,-0.632640476,-2.678890929,1.413609978,1,ns
Narrow Hands,Hearing Impairment,-0.632640476,-2.678890929,1.413609978,1,ns
High/Broad Nasal Bridge,Speech Developmental Delay,-0.632376693,-1.597675146,0.33292176,0.673325375,ns
Neonatal Jaundice,Enlarged Ventricles,-0.632258461,-1.915084335,0.650567413,0.781816356,ns
Hypertelorism,Enlarged Ventricles,-0.632258461,-1.915084335,0.650567413,0.781816356,ns
Hypertelorism,Large/Prominent Ears,-0.627680333,-1.733307982,0.477947316,0.716496887,ns
Hypertelorism,Scoliosis/Kyphosis,-0.627680333,-1.733307982,0.477947316,0.716496887,ns
Hypodontia,Friendly/Amiable Affect,-0.627258916,-1.696887028,0.442369195,0.718883816,ns
Everted Lower Lip,Anxiety,-0.626475229,-1.917719108,0.66476865,0.787757378,ns
Feeding Difficulties,Open Mouth,-0.625805986,-2.301280929,1.049668957,1,ns
High/Broad Forehead,Corpus Callosum Hypoplasia/Agenesis,-0.624055275,-1.910299832,0.662189282,0.78747266,ns
Dolichocephaly,Epicanthal Folds,-0.621298035,-3.253231593,2.010635523,1,ns
Large/Prominent Ears,Hypodontia,-0.620472036,-1.920429482,0.67948541,0.796672217,ns
Neonatal Jaundice,Open Mouth,-0.618987316,-3.12842802,1.890453389,1,ns
Open Mouth,Pale Irides,-0.61667136,-4.764412837,3.531070116,1,ns
Pale Irides,Urinary Tract Infection,-0.61667136,-4.764412837,3.531070116,1,ns
Widely Spaced Teeth,Narrow Hands,-0.61667136,-4.764412837,3.531070116,1,ns
Narrow Hands,Widely Spaced Nipples,-0.61667136,-4.764412837,3.531070116,1,ns
Narrow/High Palate,Otitis Media,-0.612193979,-3.090662806,1.866274848,1,ns
Epicanthal Folds,Thin Upper Lip,-0.609048119,-2.028655226,0.810558987,0.844480667,ns
Epicanthal Folds,Speech Developmental Delay,-0.605721061,-1.38839207,0.176949948,0.537628785,ns
Microcephaly,Large/Prominent Ears,-0.601423093,-3.192942753,1.990096567,1,ns
Craniosynostosis,Large/Prominent Ears,-0.601423093,-3.192942753,1.990096567,1,ns
High/Broad Forehead,Dry Skin/Hyperkeratosis/Eczema,-0.601312398,-2.557898509,1.355273712,1,ns
Hypotonia,Hypopigmentation,-0.601002512,-2.24924206,1.047237036,1,ns
Seizures,Patent Foramen Ovale,-0.594990961,-2.181354536,0.991372615,0.933133485,ns
Craniosynostosis,Thin Upper Lip,-0.593822478,-4.767175406,3.57953045,1,ns
Failure to Thrive in Infancy,Cryptorchidism,-0.593332906,-2.59583604,1.409170229,1,ns
Cryptorchidism,Hypopigmentation,-0.593332906,-2.59583604,1.409170229,1,ns
Macrocephaly,Joint Hyperlaxity,-0.593298831,-1.944181492,0.75758383,0.845373754,ns
Macrocephaly,Foot Deformities,-0.589239183,-2.283254008,1.104775641,1,ns
Foot Deformities,Constipation,-0.589239183,-2.283254008,1.104775641,1,ns
Ptosis,Hip Dislocation/Dysplasia,-0.58766671,-1.872410318,0.697076898,0.81442205,ns
Long Face,Anxiety,-0.587444413,-1.600486992,0.425598166,0.729296382,ns
Slender/Long Fingers,Hearing Impairment,-0.583955924,-1.699434836,0.531522987,0.76607545,ns
Feeding Difficulties,Slender/Long Fingers,-0.583711635,-1.525003536,0.357580266,0.696372556,ns
Hypertelorism,Speech Developmental Delay,-0.583026115,-1.503296831,0.337244601,0.696372556,ns
Bulbous Nasal Tip,Astigmatism,-0.581437169,-2.211658984,1.048784647,1,ns
Anxiety,Joint Hyperlaxity,-0.580496535,-1.674787969,0.513794899,0.76607545,ns
Feeding Difficulties,Foot Deformities,-0.579212648,-1.434166865,0.275741568,0.634799592,ns
Short Stature,Corpus Callosum Hypoplasia/Agenesis,-0.579036235,-1.964511523,0.806439053,0.847949167,ns
Everted Lower Lip,Hearing Impairment,-0.578031736,-1.522033357,0.365969885,0.676628566,ns
Drooling,Scoliosis/Kyphosis,-0.57509438,-1.569726971,0.419538212,0.716496887,ns
Feeding Difficulties,Upward Slanting Palpebral Fissures,-0.574545885,-1.283641986,0.134550216,0.488108029,ns
Bulbous Nasal Tip,Speech Developmental Delay,-0.5724662,-1.369768404,0.224836003,0.574966152,ns
Epicanthal Folds,Enlarged Ventricles,-0.57214681,-1.606123213,0.461829592,0.736729249,ns
Tongue Protrusion,Myopia,-0.570315725,-4.722698898,3.582067448,1,ns
Tongue Protrusion,Pigmentation Abnormalities,-0.570315725,-4.722698898,3.582067448,1,ns
Tongue Protrusion,Nasal Speech,-0.570315725,-4.722698898,3.582067448,1,ns
Dolichocephaly,Hearing Impairment,-0.569392941,-3.201735831,2.062949949,1,ns
Pale Irides,Hypodontia,-0.568234383,-3.043655085,1.90718632,1,ns
Widely Spaced Teeth,Hypodontia,-0.568234383,-3.043655085,1.90718632,1,ns
Hypodontia,Widely Spaced Nipples,-0.568234383,-3.043655085,1.90718632,1,ns
Long Face,Thin Upper Lip,-0.568216616,-1.78691832,0.650485089,0.842206933,ns
Thin Upper Lip,Anxiety,-0.568128062,-2.521591654,1.38533553,1,ns
Astigmatism,Scoliosis/Kyphosis,-0.564795066,-2.593995555,1.464405423,1,ns
Scoliosis/Kyphosis,Pyelectasis,-0.564795066,-2.593995555,1.464405423,1,ns
Epicanthal Folds,Corpus Callosum Hypoplasia/Agenesis,-0.564041849,-1.535404496,0.407320797,0.716496887,ns
High/Broad Nasal Bridge,Hip Dislocation/Dysplasia,-0.563225921,-1.942147051,0.815695209,0.855287509,ns
Enlarged Ventricles,Atrial Septal Defect,-0.563030255,-1.717039066,0.590978555,0.795026019,ns
Small Teeth,Drooling,-0.56210983,-2.565118092,1.440898433,1,ns
Drooling,Hypopigmentation,-0.56210983,-2.565118092,1.440898433,1,ns
Ventricular Septal Defect,Nasal Speech,-0.560446221,-3.032777337,1.911884894,1,ns
Low Birth Weight,Long/Prominent Philtrum,-0.5585745,-2.526492867,1.409343867,1,ns
Speech Developmental Delay,Otitis Media,-0.557865205,-2.045732203,0.930001794,1,ns
Vesicoureteral Reflux,Constipation,-0.556393349,-3.021368273,1.908581576,1,ns
Upward Slanting Palpebral Fissures,Urinary Tract Infection,-0.554788766,-2.386224734,1.276647202,1,ns
Large/Prominent Ears,Myopia,-0.553794483,-2.284797927,1.177208962,1,ns
Micrognathia,Patent Foramen Ovale,-0.552672963,-4.700963142,3.595617216,1,ns
Patent Foramen Ovale,Hypoplasia Hand Muscles,-0.552672963,-4.700963142,3.595617216,1,ns
Large/Prominent Ears,Dry Skin/Hyperkeratosis/Eczema,-0.551778979,-2.091959661,0.988401702,0.913150556,ns
Epicanthal Folds,Language Disorder,-0.551015169,-1.380140135,0.278109798,0.634036169,ns
Failure to Thrive in Infancy,Anxiety,-0.549177926,-3.034632387,1.936276536,1,ns
Sparse Eyebrows,Small Teeth,-0.549177926,-3.034632387,1.936276536,1,ns
Abnormal EEG,Hearing Impairment,-0.546714275,-1.718412156,0.624983606,0.820656405,ns
Bulbous Nasal Tip,High/Broad Nasal Bridge,-0.546028185,-1.509477718,0.417421349,0.774473949,ns
Microcephaly,Motor Developmental Delay,-0.545844634,-2.590636654,1.498947385,1,ns
Craniosynostosis,Motor Developmental Delay,-0.545844634,-2.590636654,1.498947385,1,ns
Failure to Thrive in Infancy,Cleft Lip/Palate,-0.544735143,-4.693812983,3.604342696,1,ns
Failure to Thrive in Infancy,Nystagmus,-0.544735143,-4.693812983,3.604342696,1,ns
Failure to Thrive in Infancy,Bicuspid Aortic Valve,-0.544735143,-4.693812983,3.604342696,1,ns
Failure to Thrive in Infancy,Pyelectasis,-0.544735143,-4.693812983,3.604342696,1,ns
Failure to Thrive in Infancy,Café-au-lait Spots,-0.544735143,-4.693812983,3.604342696,1,ns
Cleft Lip/Palate,Small Teeth,-0.544735143,-4.693812983,3.604342696,1,ns
Cleft Lip/Palate,Hypopigmentation,-0.544735143,-4.693812983,3.604342696,1,ns
Small Teeth,Astigmatism,-0.544735143,-4.693812983,3.604342696,1,ns
Small Teeth,Nystagmus,-0.544735143,-4.693812983,3.604342696,1,ns
Small Teeth,Café-au-lait Spots,-0.544735143,-4.693812983,3.604342696,1,ns
Nystagmus,Hypopigmentation,-0.544735143,-4.693812983,3.604342696,1,ns
Pyelectasis,Hypopigmentation,-0.544735143,-4.693812983,3.604342696,1,ns
Age,High/Broad Nasal Bridge,-0.544253052,-1.492279953,0.403773849,0.759264133,ns
Neonatal Jaundice,Slender Lower Limbs,-0.543948413,-2.516977843,1.429081018,1,ns
Long/Prominent Philtrum,Narrow Hands,-0.543660093,-3.054507325,1.96718714,1,ns
Long/Prominent Philtrum,Urinary Tract Infection,-0.543660093,-3.054507325,1.96718714,1,ns
Narrow Hands,Hip Dislocation/Dysplasia,-0.543660093,-3.054507325,1.96718714,1,ns
Short Stature,Low-Set Ears,-0.54365792,-1.930119325,0.842803485,0.875340333,ns
Dolichocephaly,Developmental Delay/Intellectual Disability,-0.541852261,-4.766218537,3.682514015,1,ns
Language Disorder,Patent Foramen Ovale,-0.539290642,-2.323900967,1.245319683,1,ns
Ventricular Septal Defect,Bilateral Kidneys,-0.538866086,-4.749888937,3.672156764,1,ns
Corpus Callosum Hypoplasia/Agenesis,Friendly/Amiable Affect,-0.538704668,-1.391678246,0.31426891,0.674545562,ns
Low-Set Ears,Hip Dislocation/Dysplasia,-0.538406739,-1.752740202,0.675926724,0.835974905,ns
Hypodontia,Speech Developmental Delay,-0.538309125,-1.604257589,0.527639339,0.839664625,ns
Narrow/Short Palpebral Fissures,Corpus Callosum Hypoplasia/Agenesis,-0.530267394,-1.745448416,0.684913628,0.841127154,ns
Microcephaly,Macrocephaly,-0.527788792,-4.702789147,3.647211562,1,ns
Microcephaly,Vesicoureteral Reflux,-0.527788792,-4.702789147,3.647211562,1,ns
Microcephaly,Multiple Nevi,-0.527788792,-4.702789147,3.647211562,1,ns
Macrocephaly,Craniosynostosis,-0.527788792,-4.702789147,3.647211562,1,ns
Craniosynostosis,Vesicoureteral Reflux,-0.527788792,-4.702789147,3.647211562,1,ns
Craniosynostosis,Multiple Nevi,-0.527788792,-4.702789147,3.647211562,1,ns
Craniosynostosis,Constipation,-0.527788792,-4.702789147,3.647211562,1,ns
Craniosynostosis,Sacral Dimple,-0.527788792,-4.702789147,3.647211562,1,ns
Enlarged Ventricles,Hyperopia,-0.526993891,-1.682169,0.628181218,0.828283554,ns
Bulbous Nasal Tip,Bilateral Kidneys,-0.526612422,-2.896519977,1.843295132,1,ns
Sparse Eyebrows,Atrial Septal Defect,-0.525388277,-1.819312951,0.768536396,0.869068564,ns
Small Teeth,Strabismus,-0.525264251,-2.292868926,1.242340424,1,ns
Tubular or Pear-Shaped Nose,Inguinal Hernia,-0.524644129,-2.082304371,1.033016114,1,ns
Hearing Impairment,Pectus Excavatum,-0.524239242,-1.843935135,0.795456651,0.884267474,ns
High/Broad Nasal Bridge,Abnormal EEG,-0.522705793,-2.027127177,0.98171559,0.916214293,ns
High/Broad Nasal Bridge,Astigmatism,-0.522475998,-3.023391527,1.97843953,1,ns
High/Broad Nasal Bridge,Pyelectasis,-0.522475998,-3.023391527,1.97843953,1,ns
Slender/Long Fingers,Astigmatism,-0.522475998,-3.023391527,1.97843953,1,ns
Slender/Long Fingers,Nystagmus,-0.522475998,-3.023391527,1.97843953,1,ns
Slender/Long Fingers,Bicuspid Aortic Valve,-0.522475998,-3.023391527,1.97843953,1,ns
Myopia,Abnormal Hair Color/Texture,-0.521583567,-2.106102786,1.062935652,0.937798408,ns
Abnormal Hair Color/Texture,Nasal Speech,-0.521583567,-2.106102786,1.062935652,0.937798408,ns
Ptosis,Pigmentation Abnormalities,-0.521374624,-2.500566302,1.457817054,1,ns
Narrow Hands,Otitis Media,-0.520656225,-4.67214914,3.63083669,1,ns
Thin Upper Lip,Narrow/High Palate,-0.520226243,-2.475316301,1.434863814,1,ns
Bulbous Nasal Tip,Seizures,-0.518917236,-1.244166402,0.206331931,0.588828361,ns
Slender/Long Fingers,Motor Developmental Delay,-0.517470587,-1.460111684,0.42517051,0.775596569,ns
High/Broad Forehead,Tracheomalacia/Laryngomalacia,-0.516717736,-1.897676914,0.864241442,0.901691329,ns
Patent Foramen Ovale,Abnormal Hair Color/Texture,-0.514166723,-2.299015599,1.270682154,1,ns
Drooling,Hydronephrosis,-0.513115169,-2.039330215,1.013099878,0.923697605,ns
Feeding Difficulties,Epicanthal Folds,-0.50828691,-1.259294521,0.242720701,0.635628051,ns
Speech Developmental Delay,Multiple Nevi,-0.507516115,-1.748493035,0.733460805,0.937798408,ns
Language Disorder,Foot Deformities,-0.506280674,-1.460620857,0.448059509,0.774473949,ns
Slender Lower Limbs,Hydrocephalus,-0.506096164,-4.665152171,3.652959843,1,ns
Hypertelorism,Hip Dislocation/Dysplasia,-0.505769401,-1.793619139,0.782080338,0.88197814,ns
Feeding Difficulties,Narrow/Short Palpebral Fissures,-0.505253991,-1.420660026,0.410152044,0.776923701,ns
Narrow/Short Palpebral Fissures,Urinary Tract Infection,-0.505011223,-3.016611537,2.00658909,1,ns
Feeding Difficulties,High/Broad Forehead,-0.503550492,-1.453152181,0.446051197,0.795026019,ns
Narrow/High Palate,Small Teeth,-0.502688498,-2.98935227,1.983975275,1,ns
Macroglossia,Pulmonary Valve Stenosis,-0.499571009,-4.665471951,3.666329932,1,ns
Motor Developmental Delay,Hip Dislocation/Dysplasia,-0.498803387,-1.407756218,0.410149444,0.776716196,ns
Failure to Thrive in Infancy,Hyperopia,-0.498533162,-2.50261058,1.505544257,1,ns
Small Teeth,Hyperopia,-0.498533162,-2.50261058,1.505544257,1,ns
Everted Lower Lip,Hypoplasia Hand Muscles,-0.49668994,-2.51250062,1.51912074,1,ns
Everted Lower Lip,Inguinal Hernia,-0.49668994,-2.51250062,1.51912074,1,ns
Anxiety,Sacral Dimple,-0.495860565,-2.453506443,1.461785314,1,ns
Long Face,Atrial Septal Defect,-0.494571287,-1.327815603,0.338673028,0.719601773,ns
Hypertelorism,Bulbous Nasal Tip,-0.494313107,-1.412530608,0.423904393,0.797230314,ns
Developmental Delay/Intellectual Disability,Abnormal Hair Color/Texture,-0.493486597,-2.085944982,1.098971788,1,ns
Corpus Callosum Hypoplasia/Agenesis,Seizures,-0.491089056,-1.334758628,0.352580516,0.733180898,ns
Sparse Eyebrows,Hyperopia,-0.490830186,-1.785722908,0.804062537,0.904730081,ns
Short Stature,Intrauterine Growth Restriction,-0.490156979,-2.44498371,1.464669752,1,ns
Bulbous Nasal Tip,Tongue Protrusion,-0.489949386,-2.262910122,1.283011351,1,ns
Hyperopia,Pulmonary Valve Stenosis,-0.488389241,-3.05191394,2.075135458,1,ns
Tongue Protrusion,Seizures,-0.486958351,-2.255483525,1.281566823,1,ns
Low-Set Ears,Hypodontia,-0.486311735,-1.87611893,0.903495459,0.916412114,ns
Hypodontia,Hypotonia,-0.48502619,-1.652294491,0.682242111,0.945347863,ns
Enlarged Ventricles,Pigmentation Abnormalities,-0.484447401,-2.464469915,1.495575114,1,ns
Tubular or Pear-Shaped Nose,Open Mouth,-0.484311054,-2.161471402,1.192849295,1,ns
Sparse Eyebrows,Ptosis,-0.482016199,-1.866599828,0.90256743,0.916412114,ns
Bulbous Nasal Tip,Otitis Media,-0.481742916,-1.96872711,1.005241278,1,ns
High/Broad Forehead,Astigmatism,-0.480787932,-2.982621962,2.021046098,1,ns
High/Broad Forehead,Nystagmus,-0.480787932,-2.982621962,2.021046098,1,ns
High/Broad Forehead,Bicuspid Aortic Valve,-0.480787932,-2.982621962,2.021046098,1,ns
High/Broad Forehead,Pyelectasis,-0.480787932,-2.982621962,2.021046098,1,ns
Tongue Protrusion,Widely Spaced Nipples,-0.479609501,-4.635310049,3.676091048,1,ns
Thin Upper Lip,Language Disorder,-0.478731081,-1.822865437,0.865403276,0.928605035,ns
Failure to Thrive in Infancy,Epicanthal Folds,-0.472695186,-2.240898128,1.295507756,1,ns
Micrognathia,Speech Developmental Delay,-0.468044749,-2.060217025,1.124127527,1,ns
Neonatal Jaundice,Tongue Protrusion,-0.46794903,-2.993276953,2.057378892,1,ns
Age,Cryptorchidism,-0.466981892,-1.291049013,0.357085229,0.76607545,ns
Slender Lower Limbs,Tracheomalacia/Laryngomalacia,-0.466880424,-2.441776834,1.508015985,1,ns
Slender Lower Limbs,Hip Dislocation/Dysplasia,-0.466880424,-2.441776834,1.508015985,1,ns
Hypodontia,Otitis Media,-0.465663572,-2.948228545,2.016901401,1,ns
Tongue Protrusion,Hearing Impairment,-0.464501876,-2.534751553,1.605747801,1,ns
Ventricular Septal Defect,Widely Spaced Nipples,-0.463920792,-2.942535608,2.014694024,1,ns
Long/Prominent Philtrum,Foot Deformities,-0.462920023,-1.679849033,0.754008987,0.908605063,ns
Long Face,Vesicoureteral Reflux,-0.46107174,-1.694097005,0.771953525,0.937179476,ns
Short Stature,Speech Developmental Delay,-0.460905415,-1.518447365,0.596636535,0.916412114,ns
Low-Set Ears,Hearing Impairment,-0.45938415,-1.434194195,0.515425896,0.82850634,ns
Corpus Callosum Hypoplasia/Agenesis,Strabismus,-0.458992909,-1.410546972,0.492561153,0.819547357,ns
Thin Upper Lip,Abnormal Hair Color/Texture,-0.452600339,-1.797072874,0.891872197,0.943680222,ns
Seizures,Pigmentation Abnormalities,-0.451874267,-1.8488678,0.945119265,0.983565981,ns
Feeding Difficulties,Low-Set Ears,-0.451612114,-1.294675937,0.391451709,0.790788137,ns
Macrocephaly,Narrow/High Palate,-0.447989526,-2.4072588,1.511279748,1,ns
Narrow/High Palate,Vesicoureteral Reflux,-0.447989526,-2.4072588,1.511279748,1,ns
Narrow/High Palate,Constipation,-0.447989526,-2.4072588,1.511279748,1,ns
Neonatal Jaundice,Pigmentation Abnormalities,-0.446913173,-2.427804289,1.533977942,1,ns
Age,Atrial Septal Defect,-0.446559401,-1.280113468,0.386994667,0.795026019,ns
Dolichocephaly,Hydronephrosis,-0.445087098,-4.636517931,3.746343735,1,ns
Large/Prominent Ears,Widely Spaced Teeth,-0.443147595,-2.185846846,1.299551656,1,ns
Broad Chin,Cryptorchidism,-0.442347563,-1.842923609,0.958228483,0.947095708,ns
Hypertelorism,Joint Hyperlaxity,-0.441939993,-1.409125774,0.525245787,0.845600497,ns
Narrow/Short Palpebral Fissures,Hypodontia,-0.440299053,-1.950409647,1.069811542,0.95903333,ns
Epicanthal Folds,Motor Developmental Delay,-0.439586133,-1.188971739,0.309799473,0.733180898,ns
